@RELATION training_keyboard


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
4031,4030,West,86,2,13,9,14,11,-1,-1,-1,-1,-1,-1
4030,4029,West,86,2,12,9,14,11,-1,-1,-1,-1,-1,-1
4129,4128,North,85,2,12,10,14,11,-1,-1,-1,-1,-1,-1
4128,4127,East,85,2,13,10,14,11,-1,-1,-1,-1,-1,-1
4127,4126,East,85,2,14,10,14,11,-1,-1,-1,-1,-1,-1
4126,4125,East,85,2,15,10,13,11,-1,-1,-1,-1,-1,-1
4125,4124,North,85,2,15,11,13,11,-1,-1,-1,-1,-1,-1
4124,4123,North,85,2,15,12,12,11,-1,-1,-1,-1,-1,-1
4123,4122,West,85,2,14,12,12,11,-1,-1,-1,-1,-1,-1
4122,4121,West,85,2,13,12,12,12,-1,-1,-1,-1,-1,-1
0,-1,Stop,53,2,9,1,1,5,8,5,11,5,18,5
-1,-2,Stop,53,2,9,1,1,5,8,5,11,5,18,5
-2,-3,Stop,53,2,9,1,1,5,8,5,11,5,18,5
-3,-4,Stop,53,2,9,1,1,5,8,5,11,5,18,5
-4,-5,Stop,53,2,9,1,1,5,8,5,11,5,18,5
-5,-6,Stop,53,2,9,1,1,5,8,5,11,5,18,5
