@relation 'training_keyboard-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
1377,1376,109,2,5,6,12,4,-1,-1,19,11,20,7,South
1476,1475,108,2,5,5,13,4,-1,-1,18,11,20,6,South
1575,1574,107,2,5,4,13,5,-1,-1,18,10,20,7,South
1674,1673,106,2,6,4,14,5,-1,-1,18,11,20,6,East
1773,1772,105,2,7,4,15,5,-1,-1,18,12,20,6,East
1772,1771,105,2,8,4,15,5,-1,-1,18,12,20,5,East
1771,1770,105,2,9,4,15,6,-1,-1,17,12,20,5,East
1870,1869,104,2,10,4,15,6,-1,-1,18,12,21,5,East
1969,1968,103,2,11,4,15,7,-1,-1,17,12,21,5,East
2068,2067,102,2,12,4,15,7,-1,-1,18,12,20,5,East
2067,2066,102,2,13,4,15,6,-1,-1,18,11,20,4,East
2066,2065,102,2,14,4,15,6,-1,-1,17,11,20,5,East
2165,2164,101,2,15,4,15,6,-1,-1,18,11,20,5,East
2264,2263,100,2,15,5,14,6,-1,-1,17,11,20,5,North
2263,2262,100,2,15,6,14,5,-1,-1,18,11,21,5,North
2362,2361,99,2,15,7,14,6,-1,-1,18,11,22,5,North
2461,2460,98,2,15,8,15,6,-1,-1,18,11,22,5,North
2460,2459,98,2,15,9,15,7,-1,-1,18,11,22,6,North
2559,2558,97,2,15,10,15,8,-1,-1,18,10,22,7,North
2658,2657,96,2,15,11,15,8,-1,-1,18,9,22,6,North
2757,2756,95,2,16,11,15,8,-1,-1,19,9,23,6,East
2856,2855,94,2,17,11,15,9,-1,-1,18,9,23,7,East
2855,2854,94,2,18,11,14,9,-1,-1,19,9,23,7,East
2854,2853,94,2,18,10,14,10,-1,-1,18,9,22,7,South
3153,3152,93,2,18,9,13,10,-1,-1,-1,-1,22,8,South
3152,3151,93,2,18,8,13,11,-1,-1,-1,-1,22,8,South
3151,3150,93,2,19,8,13,10,-1,-1,-1,-1,22,9,East
3250,3249,92,2,20,8,12,10,-1,-1,-1,-1,22,8,East
3549,3548,91,2,21,8,13,10,-1,-1,-1,-1,-1,-1,East
3648,3647,90,2,22,8,13,11,-1,-1,-1,-1,-1,-1,East
3647,3646,90,2,23,8,13,10,-1,-1,-1,-1,-1,-1,East
3646,3645,90,2,23,8,14,10,-1,-1,-1,-1,-1,-1,East
3645,3644,90,2,23,9,14,11,-1,-1,-1,-1,-1,-1,North
3644,3643,90,2,23,10,14,10,-1,-1,-1,-1,-1,-1,North
3643,3642,90,2,23,11,14,10,-1,-1,-1,-1,-1,-1,North
3742,3741,89,2,22,11,14,10,-1,-1,-1,-1,-1,-1,West
3841,3840,88,2,21,11,14,10,-1,-1,-1,-1,-1,-1,West
3940,3939,87,2,20,11,13,10,-1,-1,-1,-1,-1,-1,West
3939,3938,87,2,19,11,13,10,-1,-1,-1,-1,-1,-1,West
3938,3937,87,2,18,11,13,11,-1,-1,-1,-1,-1,-1,West
3937,3936,87,2,18,10,13,11,-1,-1,-1,-1,-1,-1,South
3936,3935,87,2,18,9,12,11,-1,-1,-1,-1,-1,-1,South
4035,4034,86,2,17,9,13,11,-1,-1,-1,-1,-1,-1,West
4034,4033,86,2,16,9,14,11,-1,-1,-1,-1,-1,-1,West
4033,4032,86,2,15,9,14,12,-1,-1,-1,-1,-1,-1,West
4032,4031,86,2,14,9,14,12,-1,-1,-1,-1,-1,-1,West
4031,4030,86,2,13,9,14,11,-1,-1,-1,-1,-1,-1,West
4030,4029,86,2,12,9,14,11,-1,-1,-1,-1,-1,-1,West
4129,4128,85,2,12,10,14,11,-1,-1,-1,-1,-1,-1,North
4128,4127,85,2,13,10,14,11,-1,-1,-1,-1,-1,-1,East
4127,4126,85,2,14,10,14,11,-1,-1,-1,-1,-1,-1,East
4126,4125,85,2,15,10,13,11,-1,-1,-1,-1,-1,-1,East
4125,4124,85,2,15,11,13,11,-1,-1,-1,-1,-1,-1,North
4124,4123,85,2,15,12,12,11,-1,-1,-1,-1,-1,-1,North
4123,4122,85,2,14,12,12,11,-1,-1,-1,-1,-1,-1,West
4122,4121,85,2,13,12,12,12,-1,-1,-1,-1,-1,-1,West
0,-1,53,2,9,1,1,5,8,5,11,5,18,5,Stop
-1,-2,53,2,9,1,1,5,8,5,11,5,18,5,Stop
-2,-3,53,2,9,1,1,5,8,5,11,5,18,5,Stop
-3,-4,53,2,9,1,1,5,8,5,11,5,18,5,Stop
-4,-5,53,2,9,1,1,5,8,5,11,5,18,5,Stop
-5,-6,53,2,9,1,1,5,8,5,11,5,18,5,Stop
-6,-7,53,2,9,1,1,5,8,5,11,5,18,5,Stop
93,92,52,2,10,1,1,5,8,5,11,5,18,5,East
192,191,51,2,11,1,1,5,8,5,11,5,18,5,East
291,290,50,2,12,1,1,5,8,5,11,5,18,5,East
390,389,49,2,13,1,1,5,8,5,11,5,18,5,East
489,488,48,2,14,1,1,5,8,5,11,5,18,5,East
588,587,47,2,15,1,1,5,8,5,11,5,18,5,East
687,686,46,2,16,1,1,5,8,5,11,5,18,5,East
786,785,45,2,17,1,1,5,8,5,11,5,18,5,East
885,884,44,2,18,1,1,5,8,5,11,5,18,5,East
984,983,43,2,18,2,1,5,8,5,11,5,18,5,North
1083,1082,42,2,18,3,1,5,8,5,11,5,18,5,North
1182,1181,41,2,18,4,1,5,8,5,11,5,18,5,North
1381,1380,41,2,18,5,1,5,8,5,11,5,-1,-1,North
1380,1379,41,2,18,5,1,5,8,5,11,5,-1,-1,North
1479,1478,40,2,17,5,1,5,8,5,11,5,-1,-1,West
1578,1577,39,2,16,5,1,5,8,5,11,5,-1,-1,West
1677,1676,38,2,15,5,1,5,8,5,11,5,-1,-1,West
1776,1775,37,2,14,5,1,5,8,5,11,5,-1,-1,West
1875,1874,36,2,13,5,1,5,8,5,11,5,-1,-1,West
1874,1873,36,2,13,5,1,5,8,5,11,5,-1,-1,West
